Hartlepool	North East England
Middlesbrough	North East England
Redcar and Cleveland	North East England
Stockton-on-Tees	North East England
Darlington	County Durham
Halton	North West England
Warrington	North West England
Blackburn with Darwen	North West England
Blackpool	North West England
Kingston upon Hull, City of	Kingston upon Hull
East Riding of Yorkshire	England
North East Lincolnshire	Yorkshire and the Humber
North Lincolnshire	Yorkshire and the Humber
York	Yorkshire and the Humber
Derby	East Midlands
Leicester	Leicestershire
Rutland	East Midlands
Nottingham	Nottinghamshire
Herefordshire, County of	West Midlands
Telford and Wrekin	West Midlands
Stoke-on-Trent	West Midlands
Bath and North East Somerset	South West England
Bristol, City of	City of Bristol
North Somerset	South West England
South Gloucestershire	South West England
Plymouth	South West England
Torbay	South West England
Bournemouth	Bournemouth
Poole	Bear Cross
Swindon	South West England
Peterborough	Cambridgeshire
Luton	East of England
Southend-on-Sea	East of England
Thurrock	East of England
Medway	South East England
Bracknell Forest	South East England
West Berkshire	South East England
Reading	South East England
Slough	South East England
Windsor and Maidenhead	South East England
Wokingham	South East England
Milton Keynes	South East England
Brighton and Hove	South East England
Portsmouth	South East England
Southampton	South East England
Isle of Wight	South East England
County Durham	North East England
Cheshire East	North West England
Cheshire West and Chester	North West England
Shropshire	England
Cornwall	South West England
Isles of Scilly	South West England
Wiltshire	England
Bedford	East of England
Central Bedfordshire	East of England
Northumberland	North East England
Bolton	Greater Manchester
Bury	Clermont
Manchester	Greater Manchester
Oldham	Texas
Rochdale	Greater Manchester
Salford	Greater Manchester
Stockport	Greater Manchester
Tameside	Greater Manchester
Trafford	Greater Manchester
Wigan	Greater Manchester
Knowsley	North West England
Liverpool	North West England
St. Helens	North West England
Sefton	North West England
Wirral	North West England
Barnsley	Yorkshire and the Humber
Doncaster	Yorkshire and the Humber
Rotherham	Yorkshire and the Humber
Sheffield	Yorkshire and the Humber
Newcastle upon Tyne	Tyne and Wear
North Tyneside	North East England
South Tyneside	Tyne and Wear
Sunderland	North East England
Birmingham	West Midlands Combined Authority
Coventry	West Midlands Combined Authority
Dudley	West Midlands Combined Authority
Sandwell	West Midlands Combined Authority
Solihull	West Midlands Combined Authority
Walsall	West Midlands Combined Authority
Wolverhampton	West Midlands Combined Authority
Bradford	West Yorkshire
Calderdale	West Yorkshire
Kirklees	West Yorkshire
Leeds	West Yorkshire
Wakefield	West Yorkshire
Gateshead	Tyne and Wear
City of London	Greater London
Barking and Dagenham	London
Barnet	Greater London
Bexley	Franklin County
Brent	Bibb County
Bromley	Greater London
Camden	Camden County
Croydon	Greater London
Ealing	Greater London
Enfield	Anfield Road
Greenwich	Ipswich
Hackney	Greater London
Hammersmith and Fulham	Greater London
Haringey	London
Harrow	London
Havering	Havering
Hillingdon	London
Hounslow	Greater London
Islington	Greater London
Kensington and Chelsea	Royal Borough of Kensington and Chelsea
Kingston upon Thames	Greater London
Lambeth	London Borough of Lambeth
Lewisham	Greater London
Merton	London
Newham	London
Redbridge	Eastern Avenue
Richmond upon Thames	London
Southwark	London Borough of Southwark
Sutton	Texas
Tower Hamlets	Dover
Waltham Forest	Marsh Lane
Wandsworth	Greater London
Westminster	City of Westminster
Buckinghamshire	South East England
Cambridgeshire	East of England
Cumbria	North West England
Derbyshire	England
Devon	England
Dorset	England
East Sussex	South East England
Essex	England
Gloucestershire	South West England
Hampshire	England
Hertfordshire	East of England
Kent	England
Lancashire	England
Leicestershire	City of Leicester
Lincolnshire	England
Norfolk	East of England
Northamptonshire	England
North Yorkshire	England
Nottinghamshire	East Midlands
Oxfordshire	South East England
Somerset	England
Staffordshire	West Midlands
Suffolk	East of England
Surrey	Greater London
Warwickshire	West Midlands
West Sussex	South East England
Worcestershire	West Midlands
Isle of Anglesey	Cymru / Wales
Gwynedd	Cymru / Wales
Conwy	Cymru / Wales
Denbighshire	Cymru / Wales
Flintshire	Cymru / Wales
Wrexham	Cymru / Wales
Ceredigion	Cymru / Wales
Pembrokeshire	Cymru / Wales
Carmarthenshire	Cymru / Wales
Swansea	Cymru / Wales
Neath Port Talbot	Cymru / Wales
Bridgend	Cymru / Wales
Vale of Glamorgan	Cymru / Wales
Cardiff	Cymru / Wales
Rhondda Cynon Taf	Cymru / Wales
Caerphilly	Cymru / Wales
Blaenau Gwent	Cymru / Wales
Torfaen	Cymru / Wales
Monmouthshire	Cymru / Wales
Newport	Newport County
Powys	Cymru / Wales
Merthyr Tydfil	Cymru / Wales
